id	eye_right_x	eye_right_y	sex	mouth.l_y	mouth.l_x	nose_x	nose_y	eye_left_x	eye_left_y	city.x	confidence	pose_pitch	emotion_calm	boundingbox_size_width	combined_age_guess	smile	mouth.r_y	mouth_l_x	mouth_l_y	mouth_r_x	mouth_r_y	pose_roll	mouth.r_x	emotion_angry	boundingbox_size_height	mouth_open_wide	emotion_sad	emotion_confused	emotion_happy	boundingbox_tl_y	boundingbox_tl_x	emotion_disgust	age	combined_gender_guess	eye_closed	pose_yaw	emotion_surprised	glasses	median.age	mean.age	sd.age	mode.gender	city.y
1	001c1aa661a011e3a7060ea937b6d133_5.jpg	89.4	56.9	0.17	74.3	70.1	83.4	67.1	72.1	54.2	bangkok	1	-0.77	0.3	55.38	19.8333333333	0.83	76.1	70.1	74.3	82.6	76.1	7.01	82.6	NA	55.38	0.03	0.04	NA	0.9	34.62	53.08	NA	24.87	0	0	45.39	NA	1	19	19.8333333333333	3.48807492274273	F	bangkok
2	0021c4ae62c911e3b5520a6023ad9e8a_5.jpg	86.6	17.7	0.06	36.7	63.8	74.7	27.3	61.9	16.4	sao_paulo	0.62	-1.47	NA	46.15	25	0.38	36.9	63.8	36.7	84.1	36.9	3.65	84.1	NA	46.15	0.01	0.16	NA	0.14	1.54	49.23	NA	20.96	0	0.05	3.32	0.04	0	27	25	4.35889894354067	F	sao_paulo
3	0029aa165d7911e3863312af00698892_5.jpg	101.7	63.9	1	110	50.1	64.1	89.4	53.7	57.5	bangkok	1	-0.65	NA	109.23	24	0.75	116.4	50.1	110	85.1	116.4	7.85	85.1	0.03	109.23	0.09	NA	0.04	0.53	16.15	21.54	NA	26.61	1	0.04	-21.23	NA	0	23	24	4.58257569495584	M	bangkok
4	003812205cef11e3842c12103ab7ffe2_5.jpg	97.2	21.3	0	52.1	69.9	85.4	35.1	70.4	20	bangkok	0.94	10.52	0.02	69.23	18.6666666667	0.21	52.7	69.9	52.1	94.2	52.7	1.73	94.2	NA	69.23	0.03	0.09	NA	NA	-1.54	46.92	NA	21.38	0	0	18.52	0.83	0.24	20	18.6666666666667	2.3094010767585	F	bangkok
5	003d269a60c111e388c2122b5091b684_5.jpg	80.3	27	0	37.5	70.1	74.8	33.9	67.7	26.6	bangkok	1	-10.36	NA	30.77	17.3333333333	0.99	37.4	70.1	37.5	78.8	37.4	1.73	78.8	NA	30.77	0.07	0.02	NA	1	15.38	58.46	NA	16.83	0	0	1.49	0	0	18	17.3333333333333	1.15470053837925	F	bangkok
6	0059d476627311e3a15612cda819ea1e_5.jpg	130.6	35	0	66.5	97	114.4	58	97.2	33	berlin	1	-14.7	0.01	76.15	22.1666666667	0.8	67.5	97	66.5	125.3	67.5	3.01	125.3	NA	76.15	0.02	NA	0.1	0.88	5.38	70	NA	24.94	0	0	11.13	NA	0	23.5	22.1666666666667	5.19294393062997	F	berlin
7	007f75e25e4e11e3ba0a12150fa9af5b_5.jpg	69.1	26.9	0	54.9	39.8	56.4	43.9	39.3	22.1	moscow	1	-4.53	NA	78.46	22.3333333333	0.03	58.8	39.8	54.9	59.5	58.8	6.94	59.5	NA	78.46	0.03	0.07	0.06	NA	-4.62	13.85	NA	28.98	0	0	22.85	0.1	0	21	22.3333333333333	3.21455025366432	F	moscow
8	0088d5665fc411e3ae47120c9ccfee49_5.jpg	89.1	22.9	0.03	44.1	63.1	70.5	37	65.1	20.7	bangkok	0.92	-7.27	NA	61.54	22.6666666667	0.55	47.8	63.1	44.1	82.7	47.8	6.18	82.7	NA	61.54	0	0.02	0.26	0.08	2.31	46.15	NA	48.52	0	0.01	-21.42	NA	0	22	22.6666666666667	3.05505046330389	F	bangkok
9	00988ace622b11e3b7b80a0a660ee051_5.jpg	92.8	42.7	0.72	72.5	73.7	79.9	56.8	70.5	45.5	bangkok	1	2.96	0.07	65.38	21	0.41	70.6	73.7	72.5	92.6	70.6	-6.61	92.6	NA	65.38	0.01	NA	0.08	0.47	19.23	50	NA	17.17	1	0.01	-13.56	NA	0	22	21	3.60555127546399	M	bangkok
10	00997a9e5f5411e3965712a9382ce560_5.jpg	74.4	53.1	0.96	87.5	55.5	68.7	73.2	43.2	63	sao_paulo	0.94	-14.71	NA	80	25	0.87	77.9	55.5	87.5	83.9	77.9	-17.82	83.9	0.19	80	0.12	0.04	NA	0.96	33.08	23.85	NA	0	1	1	11.58	NA	0.98	24	25	5.56776436283002	M	sao_paulo
11	00a361bc61a711e3989e1244f4c5d15f_5.jpg	82.2	68.5	0.02	95	58.9	78.5	82.8	59.4	65.5	ny	1	1.67	NA	60	38	0.54	97.5	58.9	95	78.4	97.5	5.1	78.4	NA	60	0	0.38	0.05	0.65	46.92	41.54	NA	23.25	0	0.01	54.79	NA	0.01	35	38	5.19615242270663	F	ny
12	00acb7ee5ebe11e397611262d215dd7f_5.jpg	92.9	43.7	0	67.6	66.8	84.5	59.8	67.7	39.1	ny	1	-6.61	0.04	78.46	21.6666666667	0.99	68.7	66.8	67.6	85.7	68.7	9.27	85.7	NA	78.46	0.49	0.01	NA	0.98	13.08	42.31	NA	22.25	0	0.02	35.47	NA	0	20	21.6666666666667	2.88675134594813	F	ny
